name,city,label_id,address,imgsUrl,score,averagePrice,lat,lng
白鹿原滑雪场,1,"[""滑雪泡汤""]",灞桥区东南6公里水安路86号（近白鹿塬思源学院）,http://zxwpic.weiyoutong.com/c2364985-7d54-4e3e-8568-f73e5dea6c69.jpg,4.3,39.0,34.273409,109.064671
曲江渼陂湖水系生态文化区-萯阳湖景区,1,"[""自然生态""]",鄠邑区涝滨北路,http://zxwpic.weiyoutong.com/ecb88791-23f1-40b4-bbd7-cf3e4c4774d0.jpg,0.0,,34.1165361,108.5885147
秦岭大坝沟景区,1,"[""自然生态""]",长安区滦镇青岗树村(沣峪口进山22公里处),http://zxwpic.weiyoutong.com/a7f044e9-2090-4311-a1f7-4634c5e495b7.jpg,0.0,,33.896842,108.850567
西安半坡博物馆,1,"[""历史人文""]",灞桥区半坡路155号,http://zxwpic.weiyoutong.com/9c61899a-0e21-4e43-b16d-8204a1b8139f.jpg,4.5,65.0,34.273161,109.050833
大汉上林苑（杜陵）文化生态景区,1,"[""自然生态""]",雁翔路南段1号,http://zxwpic.weiyoutong.com/515ab48e-43b1-4b1a-bbd5-52aa4eaff6e5.jpg,4.4,45.0,34.2281264,108.9956936
南五台,1,"[""自然生态""]",长安区子午街道东8公里,http://zxwpic.weiyoutong.com/b49a23a4-3658-4242-855d-74d4da0fd21f.jpg,4.4,,34.055435,108.908032
阿房宫考古遗址公园,1,"[""历史人文""]",西郊红光路西段阿旁宫遗址,http://zxwpic.weiyoutong.com/4e0be987-9bd0-48a7-8359-7891dd8a586d.jpg,0.0,,34.258847,108.815071
杜甫纪念馆,1,"[""历史人文""]",长安区韦曲街道双竹村,http://zxwpic.weiyoutong.com/64ede2c6-b5c3-4402-8493-739b3b0ff3f4.jpg,0.0,,34.142088,108.956111
伊利集团西安工业园,1,"[""都市玩乐""]",临潼新丰工贸小区,http://zxwpic.weiyoutong.com/2a980585-9b67-4ace-ae37-01fd27684668.jpg,0.0,,34.422423,109.275187
西安绿叶庄园,1,"[""都市玩乐""]",等驾坡东月路中段,http://zxwpic.weiyoutong.com/e598e6c0-2996-4644-a6c5-14db19adf7e6.jpg,0.0,
净业寺龙潭戏水景区,1,"[""自然生态""]",长安区滦镇沣峪口进山1、5公里处,http://zxwpic.weiyoutong.com/4869691d-1bde-4345-8f9a-cb5ffe984fc4.jpg,0.0,,34.065379,108.825997
西安连珠潭风景区,1,"[""自然生态""]",长安区沣峪口,http://zxwpic.weiyoutong.com/4bdd7c3e-1883-44ac-ab03-455f6db2b43e.jpg,0.0,,34.065379,108.825997
葛牌镇区苏维埃纪念馆,1,"[""红色旅游""]",蓝田县葛牌镇葛牌街,http://zxwpic.weiyoutong.com/0e3d3992-039f-4807-9ba8-00c3b1bf1458.jpeg,0.0,,33.909253,109.506529
伊利集团西安乳业园,1,"[""都市玩乐""]",蓝田县工业园区文姬路88号,http://zxwpic.weiyoutong.com/4cfe5175-4524-4584-b6de-257d84cf78fa.jpg,0.0,,34.1733899,109.3066712
